"","region_en","year","level","average_nominal_monthly_salary","average_percapita_income","average_size_of_pensions","crude_birth_rate","gross_regional_product","infant_mortality_rate","life_expectancy_men","life_expectancy_total","life_expectancy_women","mortality_rate","number_of_theater_goers_per_1000_population","number_of_visits_to_museums_per_1000_population","planar_sports_facilities_(playgrounds_and_fields)","population_rural","population_total","population_urban","publication_of_newspapers_per_1000_people","sports_halls","stadiums_with_stands_for_1500_seats_or_more","swimming_pools"
"846","Pskov Region",2004,"region",4542.6,4294,1947.6,9.1,NA,13.5,NA,NA,NA,24.2,141,760,NA,NA,NA,NA,386,NA,NA,NA
"847","Pskov Region",2005,"region",5734.5,4906,2434.5,8.8,NA,12.8,53.73,60.18,68.16,24.5,125,841,735,NA,NA,NA,467,344,12,NA
"848","Pskov Region",2006,"region",6973,6382,2717.2,8.9,NA,13.2,NA,NA,NA,23.3,122,877,NA,NA,NA,NA,334,NA,NA,NA
"849","Pskov Region",2007,"region",8950.5,7863,3522.9,9.7,NA,8.6,NA,NA,NA,20.9,148,921,NA,NA,NA,NA,462,NA,NA,NA
"850","Pskov Region",2008,"region",11380.8,10250,4323,10,NA,8.3,NA,NA,NA,21.7,136,906,NA,NA,NA,NA,875,NA,NA,NA
"851","Pskov Region",2009,"region",12631.4,11333,5850.7,10.4,NA,9.4,58.23,64.52,71.44,20.9,150,955,564,NA,NA,NA,1127,297,11,NA
"852","Pskov Region",2010,"region",14498.2,12698,7248.3,10.5,NA,7.9,NA,NA,NA,21.2,151,8,589,201,673,472,19,339,10,NA
"853","Pskov Region",2011,"region",15721.2,NA,7882.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","Rostov Region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,4292,3056,NA,NA,NA,NA
"855","Rostov Region",1990,"region",NA,NA,NA,12.5,NA,17.5,NA,NA,NA,12.5,265,375,NA,NA,NA,NA,379,NA,NA,NA
"856","Rostov Region",1995,"region",NA,329,NA,9.1,NA,18.7,NA,NA,NA,15.6,144,324,3611,NA,NA,NA,452,1312,52,NA
"857","Rostov Region",2000,"region",1360.5,1653,784,8,NA,18.2,60.55,66.5,72.84,15.2,118,317,NA,NA,NA,NA,269,NA,NA,NA
"858","Rostov Region",2001,"region",2092.2,2271,1105.4,8.2,NA,16.4,NA,NA,NA,15.6,120,342,NA,NA,NA,NA,292,NA,NA,NA
"859","Rostov Region",2002,"region",3002.1,3026,1393.7,8.8,NA,15,NA,NA,NA,16.1,115,359,NA,1426,4404,2978,451,NA,NA,NA
"860","Rostov Region",2003,"region",3806.1,4024,1666.5,9.2,NA,14.2,NA,NA,NA,16.3,133,372,NA,NA,NA,NA,515,NA,NA,NA
"861","Rostov Region",2004,"region",4797.5,5038,1912.3,9.5,NA,13.6,NA,NA,NA,15.9,137,372,NA,NA,NA,NA,512,NA,NA,NA
"862","Rostov Region",2005,"region",5944.7,6395,2391.5,9.2,NA,14.9,61,66.91,73.16,15.9,138,389,4521,NA,NA,NA,852,1508,56,NA
"863","Rostov Region",2006,"region",7568.9,7541,2667.7,9.5,NA,13.2,NA,NA,NA,15.5,139,357,NA,NA,NA,NA,997,NA,NA,NA
"864","Rostov Region",2007,"region",9779.6,9630,3443.9,10.2,NA,12.5,NA,NA,NA,15,143,357,NA,NA,NA,NA,981,NA,NA,NA
"865","Rostov Region",2008,"region",12539,12161,4234.3,10.8,NA,10.1,NA,NA,NA,15,142,352,NA,NA,NA,NA,1256,NA,NA,NA
"866","Rostov Region",2009,"region",13882.5,12960,5730.5,10.9,NA,9.1,64.11,69.54,74.96,14.7,132,351,5287,NA,NA,NA,1801,1696,67,NA
"867","Rostov Region",2010,"region",15243.9,14503,7057.2,10.9,NA,7.6,NA,NA,NA,14.7,133,47,5418,1403,4279,2876,8,1716,54,NA
"868","Rostov Region",2011,"region",16949.5,NA,7661.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","Russian Federation",1989,"federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39063,147022,107959,NA,NA,NA,NA
"870","Russian Federation",1990,"federal",NA,NA,NA,13.4,NA,17.4,NA,NA,NA,11.2,376,973,NA,NA,NA,NA,1119,NA,NA,NA
"871","Russian Federation",1995,"federal",NA,516,NA,9.3,NA,18.1,NA,NA,NA,15,213,508,99250,NA,NA,NA,820,50239,2260,2351
"872","Russian Federation",2000,"federal",2223.4,2281,823.4,8.7,NA,15.3,59.03,65.34,72.26,15.3,210,499,NA,NA,NA,NA,742,NA,NA,NA
"873","Russian Federation",2001,"federal",3240.4,3062,1138,9,NA,14.6,NA,NA,NA,15.6,212,517,NA,NA,NA,NA,887,NA,NA,NA
"874","Russian Federation",2002,"federal",4360.3,3947,1462.3,9.7,NA,13.3,NA,NA,NA,16.2,207,511,NA,38738,145167,106429,1481,NA,NA,NA
"875","Russian Federation",2003,"federal",5498.5,5170,1747.4,10.2,NA,12.4,NA,NA,NA,16.4,201,517,NA,NA,NA,NA,1233,NA,NA,NA
"876","Russian Federation",2004,"federal",6739.5,6410,2026.3,10.4,NA,11.6,NA,NA,NA,16,196,528,NA,NA,NA,NA,1238,NA,NA,NA
"877","Russian Federation",2005,"federal",8554.9,8112,2538.2,10.2,NA,11,58.87,65.3,72.39,16.1,196,556,113127,NA,NA,NA,1350,62314,2081,3110
"878","Russian Federation",2006,"federal",10633.9,10196,2841.6,10.4,NA,10.2,NA,NA,NA,15.2,201,555,NA,NA,NA,NA,1484,NA,NA,NA
"879","Russian Federation",2007,"federal",13593.4,12603,3682.3,11.3,NA,9.4,NA,NA,NA,14.6,206,569,NA,NA,NA,NA,1493,NA,NA,NA
"880","Russian Federation",2008,"federal",17290.1,14948,4546.3,12.1,NA,8.5,NA,NA,NA,14.6,214,556,NA,NA,NA,NA,1479,NA,NA,NA
"881","Russian Federation",2009,"federal",18637.5,17009,6177.4,12.4,NA,8.1,62.77,68.67,74.67,14.2,213,567,126383,NA,NA,NA,1501,69984,2666,3990
"882","Russian Federation",2010,"federal",20952.2,18881,7593.9,12.5,NA,7.5,NA,NA,NA,14.2,217,NA,129637,37587,142905,105318,NA,72381,1903,4237
"883","Russian Federation",2011,"federal",23369.2,NA,8272.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","Ryazan Region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,1348,876,NA,NA,NA,NA
"885","Ryazan Region",1990,"region",NA,NA,NA,11.6,NA,16,NA,NA,NA,14,341,764,NA,NA,NA,NA,246,NA,NA,NA
"886","Ryazan Region",1995,"region",NA,336,NA,7.8,NA,15.7,NA,NA,NA,18,189,470,1439,NA,NA,NA,169,419,16,NA
"887","Ryazan Region",2000,"region",1462.4,1265,800.9,7,NA,14.8,58.05,64.87,72.73,19.3,172,426,NA,NA,NA,NA,152,NA,NA,NA
"888","Ryazan Region",2001,"region",2188.8,1853,1116.5,7.4,NA,13.8,NA,NA,NA,19.9,178,467,NA,NA,NA,NA,123,NA,NA,NA
"889","Ryazan Region",2002,"region",3094.9,2531,1414.5,7.8,NA,12.9,NA,NA,NA,20.5,184,509,NA,382,1228,846,466,NA,NA,NA
"890","Ryazan Region",2003,"region",4028.1,3309,1686.4,8.3,NA,13.3,NA,NA,NA,21.2,172,524,NA,NA,NA,NA,300,NA,NA,NA
"891","Ryazan Region",2004,"region",4964.8,3639,1924,8.5,NA,11.7,NA,NA,NA,20.2,167,546,NA,NA,NA,NA,318,NA,NA,NA
"892","Ryazan Region",2005,"region",6149.7,4798,2416,8.4,NA,10.9,56.68,64.03,72.79,20.3,150,538,1367,NA,NA,NA,402,471,21,NA
"893","Ryazan Region",2006,"region",7677.1,6175,2682.3,8.5,NA,11.3,NA,NA,NA,19.2,156,557,NA,NA,NA,NA,532,NA,NA,NA
"894","Ryazan Region",2007,"region",9796.6,8115,3493.7,9.4,NA,10.6,NA,NA,NA,19,174,565,NA,NA,NA,NA,510,NA,NA,NA
"895","Ryazan Region",2008,"region",12686.3,11311,4290.5,10.1,NA,8.9,NA,NA,NA,18.6,172,508,NA,NA,NA,NA,680,NA,NA,NA
"896","Ryazan Region",2009,"region",13439.5,12075,5830.4,10.1,NA,8.9,60.87,67.69,74.93,17.8,168,495,1386,NA,NA,NA,518,496,22,NA
"897","Ryazan Region",2010,"region",15288.9,13663,7174.4,10.2,NA,8.3,NA,NA,NA,18.1,198,23,1333,336,1154,818,51,499,13,NA
"898","Ryazan Region",2011,"region",16717.7,NA,7817.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","Sakhalin Region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,710,584,NA,NA,NA,NA
"900","Sakhalin Region",1990,"region",NA,NA,NA,14.2,NA,16.7,NA,NA,NA,8.1,229,330,NA,NA,NA,NA,565,NA,NA,NA
"901","Sakhalin Region",1995,"region",NA,689,NA,9.1,NA,22.7,NA,NA,NA,17.4,56,254,182,NA,NA,NA,383,240,9,NA
"902","Sakhalin Region",2000,"region",3680.8,2793,1010.6,9.2,NA,15.1,57.69,63.34,69.82,13.4,141,344,NA,NA,NA,NA,248,NA,NA,NA
"903","Sakhalin Region",2001,"region",4979.2,3872,1314,9.5,NA,17.1,NA,NA,NA,14.7,130,440,NA,NA,NA,NA,306,NA,NA,NA
"904","Sakhalin Region",2002,"region",6959.3,5523,1763.4,10.2,NA,14.7,NA,NA,NA,15,195,352,NA,73,547,474,537,NA,NA,NA
"905","Sakhalin Region",2003,"region",9331,7676,2111.8,10.9,NA,12.5,NA,NA,NA,16.4,155,362,NA,NA,NA,NA,547,NA,NA,NA
"906","Sakhalin Region",2004,"region",11711.1,9488,2724.2,11.4,NA,13.8,NA,NA,NA,16.2,149,353,NA,NA,NA,NA,310,NA,NA,NA
"907","Sakhalin Region",2005,"region",15242.6,12548,3415.4,11.4,NA,14.4,54.5,60.58,68.06,17.4,180,356,355,NA,NA,NA,241,243,9,NA
"908","Sakhalin Region",2006,"region",18842.1,16211,3838.6,11.2,NA,12.9,NA,NA,NA,15,173,372,NA,NA,NA,NA,435,NA,NA,NA
"909","Sakhalin Region",2007,"region",23346.3,20178,4950.8,11.8,NA,8.9,NA,NA,NA,14.2,188,397,NA,NA,NA,NA,384,NA,NA,NA
"910","Sakhalin Region",2008,"region",30060.4,24552,6159.6,12.3,NA,8.1,NA,NA,NA,14.5,191,390,NA,NA,NA,NA,310,NA,NA,NA
"911","Sakhalin Region",2009,"region",32625.9,27818,8362.7,12.1,NA,7.2,58.63,64.83,71.76,14.5,165,403,461,NA,NA,NA,495,254,10,NA
"912","Sakhalin Region",2010,"region",35847.9,31078,10099.4,12.1,NA,5.9,NA,NA,NA,14.9,195,39,390,101,498,397,56,302,9,NA
"913","Sakhalin Region",2011,"region",38770.7,NA,11049.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","Sakha (Yakutia)",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,1094,732,NA,NA,NA,NA
"915","Sakha (Yakutia)",1990,"region",NA,NA,NA,19.4,NA,19.9,NA,NA,NA,6.7,324,346,NA,NA,NA,NA,425,NA,NA,NA
"916","Sakha (Yakutia)",1995,"region",NA,957,NA,15.3,NA,19.5,NA,NA,NA,9.8,87,335,580,NA,NA,NA,601,522,35,NA
"917","Sakha (Yakutia)",2000,"region",4539.1,3968,1221.3,13.7,NA,17.6,57.9,63.66,70.27,9.7,155,337,NA,NA,NA,NA,40,NA,NA,NA
"918","Sakha (Yakutia)",2001,"region",6052.3,5010,1478.3,13.9,NA,17.5,NA,NA,NA,10.2,186,309,NA,NA,NA,NA,54,NA,NA,NA
"919","Sakha (Yakutia)",2002,"region",8171.8,6348,1810.8,14.6,NA,15.2,NA,NA,NA,10.2,185,303,NA,339,949,610,119,NA,NA,NA
"920","Sakha (Yakutia)",2003,"region",9697.4,8240,2170.5,15,NA,13.2,NA,NA,NA,10.2,181,541,NA,NA,NA,NA,163,NA,NA,NA
"921","Sakha (Yakutia)",2004,"region",11315.3,9633,2825,15.5,NA,13.5,NA,NA,NA,10.2,172,651,NA,NA,NA,NA,139,NA,NA,NA
"922","Sakha (Yakutia)",2005,"region",13436.9,11391,3556.8,14.3,NA,10.6,58.62,64.7,71.59,10.2,179,408,471,NA,NA,NA,111,721,19,NA
"923","Sakha (Yakutia)",2006,"region",16167.5,13630,3959.4,14.4,NA,10.6,NA,NA,NA,9.7,165,397,NA,NA,NA,NA,185,NA,NA,NA
"924","Sakha (Yakutia)",2007,"region",19409.2,15683,5165.5,16.1,NA,10.4,NA,NA,NA,9.7,134,408,NA,NA,NA,NA,244,NA,NA,NA
"925","Sakha (Yakutia)",2008,"region",23815.9,18741,6387.1,16.2,NA,9.1,NA,NA,NA,10.1,113,415,NA,NA,NA,NA,370,NA,NA,NA
"926","Sakha (Yakutia)",2009,"region",26532.6,21354,8692,16.8,NA,8.9,60.87,66.45,72.5,9.8,162,433,489,NA,NA,NA,370,764,18,NA
"927","Sakha (Yakutia)",2010,"region",28708,23024,10377.3,16.8,NA,7.2,NA,NA,NA,9.8,183,33,499,344,958,614,63,771,19,NA
"928","Sakha (Yakutia)",2011,"region",34051.5,NA,11311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","Samara Region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,3263,2635,NA,NA,NA,NA
"930","Samara Region",1990,"region",NA,NA,NA,12.3,NA,18.1,NA,NA,NA,11.1,425,227,NA,NA,NA,NA,377,NA,NA,NA
"931","Samara Region",1995,"region",NA,476,NA,8.6,NA,14,NA,NA,NA,14.8,255,162,2018,NA,NA,NA,1160,1165,46,NA
"932","Samara Region",2000,"region",2214,2605,804.6,7.9,NA,10.7,57.57,64.51,72.28,16.4,215,266,NA,NA,NA,NA,848,NA,NA,NA
"933","Samara Region",2001,"region",3157.3,3263,1118.2,8.2,NA,9.8,NA,NA,NA,16.4,206,278,NA,NA,NA,NA,958,NA,NA,NA
"934","Samara Region",2002,"region",4228,4270,1449.7,9.2,NA,8.4,NA,NA,NA,16.3,186,248,NA,628,3240,2612,2423,NA,NA,NA
"935","Samara Region",2003,"region",5138.9,5788,1736.1,9.8,NA,9,NA,NA,NA,16.4,179,260,NA,NA,NA,NA,2337,NA,NA,NA
"936","Samara Region",2004,"region",6275.9,7177,1989.5,10.1,NA,8,NA,NA,NA,16.2,158,297,NA,NA,NA,NA,1600,NA,NA,NA
"937","Samara Region",2005,"region",7764.9,9352,2481.3,9.7,NA,8.2,59.18,65.85,73.03,16.2,159,237,1927,NA,NA,NA,1620,1328,42,NA
"938","Samara Region",2006,"region",9614.2,11529,2779.8,10.1,NA,7.3,NA,NA,NA,15.7,149,243,NA,NA,NA,NA,1422,NA,NA,NA
"939","Samara Region",2007,"region",11920.7,13982,3579,10.7,NA,6.9,NA,NA,NA,15.3,154,246,NA,NA,NA,NA,1088,NA,NA,NA
"940","Samara Region",2008,"region",14674.9,15805,4435.6,11.4,NA,6.7,NA,NA,NA,15.3,172,257,NA,NA,NA,NA,762,NA,NA,NA
"941","Samara Region",2009,"region",14915.9,18308,6014.3,11.5,NA,7.2,62.13,68.2,74.32,14.8,181,260,1961,NA,NA,NA,737,1355,44,NA
"942","Samara Region",2010,"region",16479.4,20279,7444.9,11.6,NA,6.4,NA,NA,NA,15.2,186,61,1971,636,3216,2580,39,1356,40,NA
"943","Samara Region",2011,"region",18600.3,NA,8106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","Saratov Region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,2684,1990,NA,NA,NA,NA
"945","Saratov Region",1990,"region",NA,NA,NA,13.4,NA,18.2,NA,NA,NA,11.8,361,278,NA,NA,NA,NA,242,NA,NA,NA
"946","Saratov Region",1995,"region",NA,326,NA,8.9,NA,23.6,NA,NA,NA,14.6,219,301,2507,NA,NA,NA,193,1143,51,NA
"947","Saratov Region",2000,"region",1391.5,1540,791.6,8.1,NA,17.6,58.5,65.01,72.27,16.4,231,381,NA,NA,NA,NA,317,NA,NA,NA
"948","Saratov Region",2001,"region",1953.3,2035,1108.6,8.2,NA,17.4,NA,NA,NA,16.3,262,390,NA,NA,NA,NA,260,NA,NA,NA
"949","Saratov Region",2002,"region",2706.6,2621,1399.1,8.7,NA,13.4,NA,NA,NA,16.6,263,389,NA,704,2668,1964,891,NA,NA,NA
"950","Saratov Region",2003,"region",3456.2,3337,1669.2,9.1,NA,13.7,NA,NA,NA,17,230,371,NA,NA,NA,NA,500,NA,NA,NA
"951","Saratov Region",2004,"region",4301.4,3995,1911.8,9.4,NA,10.5,NA,NA,NA,16.8,203,352,NA,NA,NA,NA,890,NA,NA,NA
"952","Saratov Region",2005,"region",5439.3,5030,2384.9,9,NA,9.1,59.52,65.9,72.83,16.8,219,357,1515,NA,NA,NA,932,1161,34,NA
"953","Saratov Region",2006,"region",7009.7,6135,2651.5,9.1,NA,9.1,NA,NA,NA,15.6,248,342,NA,NA,NA,NA,814,NA,NA,NA
"954","Saratov Region",2007,"region",9108.3,7252,3415.5,10.2,NA,8.7,NA,NA,NA,15.3,251,340,NA,NA,NA,NA,861,NA,NA,NA
"955","Saratov Region",2008,"region",12008.3,9062,4191.9,10.6,NA,6.9,NA,NA,NA,15.2,267,327,NA,NA,NA,NA,1008,NA,NA,NA
"956","Saratov Region",2009,"region",13110.1,10369,5672.9,10.7,NA,6.8,63.3,69.1,74.87,15,276,325,1533,NA,NA,NA,1216,1248,43,NA
"957","Saratov Region",2010,"region",14554,11961,6987.6,10.8,NA,6,NA,NA,NA,15.7,264,51,1614,642,2522,1880,17,1457,27,NA
"958","Saratov Region",2011,"region",16204.7,NA,7575.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","Smolensk region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,1154,781,NA,NA,NA,NA
"960","Smolensk region",1990,"region",NA,NA,NA,11.9,NA,12.9,NA,NA,NA,13.3,130,520,NA,NA,NA,NA,330,NA,NA,NA
"961","Smolensk region",1995,"region",NA,373,NA,8.1,NA,16.8,NA,NA,NA,17.2,172,302,1375,NA,NA,NA,167,521,27,NA
"962","Smolensk region",2000,"region",1656.4,1720,821.9,7,NA,15.1,56.27,62.94,70.74,20,75,328,NA,NA,NA,NA,314,NA,NA,NA
"963","Smolensk region",2001,"region",2383.8,2336,1122.3,7.6,NA,16.9,NA,NA,NA,20.6,78,312,NA,NA,NA,NA,468,NA,NA,NA
"964","Smolensk region",2002,"region",3323,3003,1430.6,8.2,NA,14,NA,NA,NA,21.6,83,302,NA,306,1050,744,1931,NA,NA,NA
"965","Smolensk region",2003,"region",4173.3,3724,1702.6,8.7,NA,11.5,NA,NA,NA,22,83,343,NA,NA,NA,NA,1985,NA,NA,NA
"966","Smolensk region",2004,"region",5012,4429,1942.7,8.8,NA,12,NA,NA,NA,21.3,91,356,NA,NA,NA,NA,1803,NA,NA,NA
"967","Smolensk region",2005,"region",6190.6,5571,2432,8.6,NA,14.7,54.83,61.97,70.45,21.6,96,402,1093,NA,NA,NA,2475,544,28,NA
"968","Smolensk region",2006,"region",7474.7,6871,2711.2,8.8,NA,10.3,NA,NA,NA,20.8,102,390,NA,NA,NA,NA,4667,NA,NA,NA
"969","Smolensk region",2007,"region",9552.1,8436,3512.8,9.6,NA,9.7,NA,NA,NA,19.6,99,453,NA,NA,NA,NA,4596,NA,NA,NA
"970","Smolensk region",2008,"region",12050.7,11523,4321.5,10.1,NA,8,NA,NA,NA,19.7,112,426,NA,NA,NA,NA,3999,NA,NA,NA
"971","Smolensk region",2009,"region",13031.5,12965,5846.1,10.8,NA,8.2,58.92,65.55,72.67,19.2,118,441,1173,NA,NA,NA,3524,924,31,NA
"972","Smolensk region",2010,"region",14513,14770,7219.8,10.4,NA,5.5,NA,NA,NA,18.4,113,29,1173,269,985,716,5,934,24,NA
"973","Smolensk region",2011,"region",16189.4,NA,7854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974","Stavropol Territory",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,2410,1299,NA,NA,NA,NA
"975","Stavropol Territory",1990,"region",NA,NA,NA,14.8,NA,16.6,NA,NA,NA,11.6,253,278,NA,NA,NA,NA,272,NA,NA,NA
"976","Stavropol Territory",1995,"region",NA,329,NA,10.6,NA,21.7,NA,NA,NA,13.5,106,219,2924,NA,NA,NA,297,811,54,NA
"977","Stavropol Territory",2000,"region",1438.4,1405,780.8,9,NA,13.8,62.43,68.01,73.76,13.6,91,247,NA,NA,NA,NA,386,NA,NA,NA
"978","Stavropol Territory",2001,"region",2098.7,1767,1096.9,9.1,NA,14,NA,NA,NA,13.7,89,264,NA,NA,NA,NA,360,NA,NA,NA
"979","Stavropol Territory",2002,"region",2837.4,2335,1378.4,9.6,NA,12.9,NA,NA,NA,14.6,83,254,NA,1204,2735,1531,623,NA,NA,NA
"980","Stavropol Territory",2003,"region",3512.2,3072,1649.6,10.2,NA,11.5,NA,NA,NA,14.9,75,259,NA,NA,NA,NA,609,NA,NA,NA
"981","Stavropol Territory",2004,"region",4497.4,3886,1890.8,10.3,NA,11.1,NA,NA,NA,14.3,73,247,NA,NA,NA,NA,637,NA,NA,NA
"982","Stavropol Territory",2005,"region",5416.3,5173,2365.5,10,NA,11.2,61.85,67.72,73.89,14.4,71,265,2840,NA,NA,NA,1003,943,48,NA
"983","Stavropol Territory",2006,"region",6732.9,6587,2627.3,10.1,NA,10.1,NA,NA,NA,14.2,75,269,NA,NA,NA,NA,935,NA,NA,NA
"984","Stavropol Territory",2007,"region",8647.7,8273,3407.5,11.3,NA,8.6,NA,NA,NA,13.4,81,268,NA,NA,NA,NA,739,NA,NA,NA
"985","Stavropol Territory",2008,"region",11109.5,9953,4171.5,12.2,NA,9.7,NA,NA,NA,13.4,88,262,NA,NA,NA,NA,730,NA,NA,NA
"986","Stavropol Territory",2009,"region",12647.2,11508,5653.8,12.1,NA,9.7,64.86,70.28,75.62,13.2,86,253,2935,NA,NA,NA,637,1095,45,NA
"987","Stavropol Territory",2010,"region",13949,12913,6909.6,11.9,NA,8.3,NA,NA,NA,12.4,83,62,2699,1194,2786,1592,43,1038,41,NA
"988","Stavropol Territory",2011,"region",15588.7,NA,7484.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","St. Petersburg",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4991,4991,NA,NA,NA,NA
"990","St. Petersburg",1990,"region",NA,NA,NA,10.9,NA,18,NA,NA,NA,12.3,866,6175,NA,NA,NA,NA,430,NA,NA,NA
"991","St. Petersburg",1995,"region",NA,670,NA,7,NA,13.8,NA,NA,NA,15.9,615,3082,1343,NA,NA,NA,1667,1328,44,NA
"992","St. Petersburg",2000,"region",2511.5,2556,879.8,6.8,NA,9.5,60.44,66.7,73.02,16.2,678,3691,NA,NA,NA,NA,714,NA,NA,NA
"993","St. Petersburg",2001,"region",3695.3,3426,1284.4,7.2,NA,9.2,NA,NA,NA,16.2,677,3689,NA,NA,NA,NA,1020,NA,NA,NA
"994","St. Petersburg",2002,"region",5434.7,4514,1663.5,8,NA,6.8,NA,NA,NA,16.4,669,4053,NA,NA,4661,4661,1190,NA,NA,NA
"995","St. Petersburg",2003,"region",6467.5,6851,1969,8.7,NA,8,NA,NA,NA,16.7,605,3895,NA,NA,NA,NA,1946,NA,NA,NA
"996","St. Petersburg",2004,"region",7931.1,9176,2265.4,8.9,NA,7.1,NA,NA,NA,16.2,583,3658,NA,NA,NA,NA,3083,NA,NA,NA
"997","St. Petersburg",2005,"region",10133.9,12556,2846.2,8.6,NA,6,61.47,67.76,74.01,16,576,3992,1845,NA,NA,NA,3245,1399,19,NA
"998","St. Petersburg",2006,"region",13033.2,14148,3302.4,8.8,NA,4.7,NA,NA,NA,15.3,535,4007,NA,NA,NA,NA,3084,NA,NA,NA
"999","St. Petersburg",2007,"region",17552,16876,4364.9,9.5,NA,4.3,NA,NA,NA,14.8,533,3933,NA,NA,NA,NA,4399,NA,NA,NA
"1000","St. Petersburg",2008,"region",22473.4,17712,5354.6,10.4,NA,4.5,NA,NA,NA,14.6,547,3713,NA,NA,NA,NA,6152,NA,NA,NA
"1001","St. Petersburg",2009,"region",23884.4,22607,7249.4,11.3,NA,4.7,65.91,71.19,76.08,14.1,531,3682,2479,NA,NA,NA,5573,1666,37,NA
"1002","St. Petersburg",2010,"region",27189.5,24594,8824.5,11.5,NA,4.7,NA,NA,NA,13.5,519,1,2270,NA,4849,4849,2,1573,13,NA
"1003","St. Petersburg",2011,"region",29522,NA,9573.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004","Sverdlovsk region",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,4707,4097,NA,NA,NA,NA
"1005","Sverdlovsk region",1990,"region",NA,NA,NA,12.1,NA,16.1,NA,NA,NA,11.1,378,315,NA,NA,NA,NA,410,NA,NA,NA
"1006","Sverdlovsk region",1995,"region",NA,506,NA,8.6,NA,17.5,NA,NA,NA,15.6,212,377,2482,NA,NA,NA,294,1485,83,NA
"1007","Sverdlovsk region",2000,"region",2273.8,2140,839.7,8.4,NA,15,57.08,63.68,71.11,16.6,217,329,NA,NA,NA,NA,343,NA,NA,NA
"1008","Sverdlovsk region",2001,"region",3246.1,2994,1164.6,9,NA,12.6,NA,NA,NA,16.1,208,352,NA,NA,NA,NA,378,NA,NA,NA
"1009","Sverdlovsk region",2002,"region",4473.1,3954,1498.3,9.9,NA,11.6,NA,NA,NA,17.1,208,343,NA,542,4486,3944,689,NA,NA,NA
"1010","Sverdlovsk region",2003,"region",5607,5278,1792.7,10.4,NA,12.2,NA,NA,NA,17.3,217,337,NA,NA,NA,NA,472,NA,NA,NA
"1011","Sverdlovsk region",2004,"region",6928.4,6743,2066.1,10.7,NA,10.4,NA,NA,NA,16.6,219,365,NA,NA,NA,NA,377,NA,NA,NA
"1012","Sverdlovsk region",2005,"region",8675.9,8932,2574.9,10.4,NA,10.4,57.88,64.55,71.91,16.6,228,340,3145,NA,NA,NA,834,1998,85,NA
"1013","Sverdlovsk region",2006,"region",10772.3,11012,2910,10.7,NA,8.7,NA,NA,NA,15.3,230,368,NA,NA,NA,NA,509,NA,NA,NA
"1014","Sverdlovsk region",2007,"region",13986.9,14243,3740.6,11.5,NA,7.8,NA,NA,NA,14.7,224,360,NA,NA,NA,NA,478,NA,NA,NA
"1015","Sverdlovsk region",2008,"region",17526.7,17171,4647.5,12.4,NA,7.6,NA,NA,NA,14.7,230,377,NA,NA,NA,NA,406,NA,NA,NA
"1016","Sverdlovsk region",2009,"region",17336.3,19351,6299.3,12.8,NA,6.4,62.27,68.39,74.56,14.3,255,378,3972,NA,NA,NA,631,2287,98,NA
"1017","Sverdlovsk region",2010,"region",19756.7,22128,7803.1,13.4,NA,6.1,NA,NA,NA,14.3,254,43,4062,694,4298,3604,44,2308,58,NA
